outlay_category,outlay_subcategory,baseline_date,baseline_name,APB_flag,projected_fiscal_year,projected_year_number,baseline_projected_outlay,actual_outlay,legislative_outlay_change,adjusted_projection,projection_error,projection_error_pct_actual
Mandatory,Other Mandatory,2000-04-01,April 2000 Baseline,True,2001,2,224.9,234.8,12.8,237.7,2.9,1.2
Mandatory,Other Mandatory,2000-04-01,April 2000 Baseline,True,2002,3,233.4,278.7,24.0,257.4,-21.3,-7.7
Mandatory,Other Mandatory,2000-04-01,April 2000 Baseline,True,2003,4,244.0,305.6,50.4,294.3,-11.3,-3.7
Mandatory,Other Mandatory,2000-04-01,April 2000 Baseline,True,2004,5,261.2,304.9,42.2,303.4,-1.5,-0.5
Mandatory,Other Mandatory,2000-04-01,April 2000 Baseline,True,2005,6,275.2,324.7,46.0,321.3,-3.4,-1.0
Mandatory,Other Mandatory,2000-04-01,April 2000 Baseline,True,2006,7,278.5,362.4,59.1,337.6,-24.8,-6.8
Mandatory,Other Mandatory,2000-04-01,April 2000 Baseline,True,2007,8,279.8,307.1,37.5,317.2,10.1,3.3
Mandatory,Other Mandatory,2000-04-01,April 2000 Baseline,True,2008,9,296.3,395.6,73.7,370.0,-25.5,-6.5
Mandatory,Other Mandatory,2000-04-01,April 2000 Baseline,True,2009,10,306.4,648.2,315.7,622.1,-26.1,-4.0
Mandatory,Other Mandatory,2000-04-01,April 2000 Baseline,True,2010,11,317.2,453.3,181.4,498.6,45.4,10.0
Mandatory,Other Mandatory,2001-05-01,May 2001 Baseline,True,2001,1,217.8,234.8,11.4,229.3,-5.6,-2.4
Mandatory,Other Mandatory,2001-05-01,May 2001 Baseline,True,2002,2,244.8,278.7,20.8,265.6,-13.2,-4.7
Mandatory,Other Mandatory,2001-05-01,May 2001 Baseline,True,2003,3,249.5,305.6,45.4,294.8,-10.8,-3.5
Mandatory,Other Mandatory,2001-05-01,May 2001 Baseline,True,2004,4,265.9,304.9,36.6,302.5,-2.4,-0.8
Mandatory,Other Mandatory,2001-05-01,May 2001 Baseline,True,2005,5,288.9,324.7,40.1,328.9,4.3,1.3
Mandatory,Other Mandatory,2001-05-01,May 2001 Baseline,True,2006,6,291.8,362.4,52.8,344.6,-17.8,-4.9
Mandatory,Other Mandatory,2001-05-01,May 2001 Baseline,True,2007,7,293.7,307.1,30.4,324.1,16.9,5.5
Mandatory,Other Mandatory,2001-05-01,May 2001 Baseline,True,2008,8,308.4,395.6,66.4,374.8,-20.7,-5.2
Mandatory,Other Mandatory,2001-05-01,May 2001 Baseline,True,2009,9,319.6,648.2,306.5,626.1,-22.1,-3.4
Mandatory,Other Mandatory,2001-05-01,May 2001 Baseline,True,2010,10,329.0,453.3,172.0,501.0,47.7,10.5
Mandatory,Other Mandatory,2001-05-01,May 2001 Baseline,True,2011,11,344.4,541.0,168.8,513.3,-27.7,-5.1
Mandatory,Other Mandatory,2002-03-01,March 2002 Baseline,True,2002,1,280.5,278.7,9.9,290.4,11.7,4.2
Mandatory,Other Mandatory,2002-03-01,March 2002 Baseline,True,2003,2,288.4,305.6,34.0,322.4,16.7,5.5
Mandatory,Other Mandatory,2002-03-01,March 2002 Baseline,True,2004,3,276.3,304.9,25.4,301.6,-3.2,-1.1
Mandatory,Other Mandatory,2002-03-01,March 2002 Baseline,True,2005,4,279.7,324.7,30.4,310.2,-14.5,-4.5
Mandatory,Other Mandatory,2002-03-01,March 2002 Baseline,True,2006,5,295.8,362.4,40.6,336.4,-26.0,-7.2
Mandatory,Other Mandatory,2002-03-01,March 2002 Baseline,True,2007,6,298.2,307.1,18.3,316.6,9.4,3.1
Mandatory,Other Mandatory,2002-03-01,March 2002 Baseline,True,2008,7,311.6,395.6,54.4,366.0,-29.5,-7.5
Mandatory,Other Mandatory,2002-03-01,March 2002 Baseline,True,2009,8,321.5,648.2,294.9,616.4,-31.8,-4.9
Mandatory,Other Mandatory,2002-03-01,March 2002 Baseline,True,2010,9,332.5,453.3,158.8,491.4,38.1,8.4
Mandatory,Other Mandatory,2002-03-01,March 2002 Baseline,True,2011,10,351.1,541.0,154.4,505.5,-35.5,-6.6
Mandatory,Other Mandatory,2002-03-01,March 2002 Baseline,True,2012,11,336.6,546.1,145.6,482.2,-63.9,-11.7
Mandatory,Other Mandatory,2003-03-01,March 2003 Baseline,True,2003,1,301.5,305.6,8.4,309.8,4.2,1.4
Mandatory,Other Mandatory,2003-03-01,March 2003 Baseline,True,2004,2,304.1,304.9,12.5,316.6,11.7,3.8
Mandatory,Other Mandatory,2003-03-01,March 2003 Baseline,True,2005,3,309.4,324.7,16.0,325.4,0.7,0.2
Mandatory,Other Mandatory,2003-03-01,March 2003 Baseline,True,2006,4,313.9,362.4,29.3,343.1,-19.3,-5.3
Mandatory,Other Mandatory,2003-03-01,March 2003 Baseline,True,2007,5,318.3,307.1,8.4,326.7,19.6,6.4
Mandatory,Other Mandatory,2003-03-01,March 2003 Baseline,True,2008,6,329.3,395.6,44.1,373.4,-22.2,-5.6
Mandatory,Other Mandatory,2003-03-01,March 2003 Baseline,True,2009,7,342.0,648.2,285.3,627.3,-20.9,-3.2
Mandatory,Other Mandatory,2003-03-01,March 2003 Baseline,True,2010,8,351.8,453.3,150.2,501.9,48.7,10.7
Mandatory,Other Mandatory,2003-03-01,March 2003 Baseline,True,2011,9,368.6,541.0,146.1,514.7,-26.3,-4.9
Mandatory,Other Mandatory,2003-03-01,March 2003 Baseline,True,2012,10,352.8,546.1,137.6,490.4,-55.7,-10.2
Mandatory,Other Mandatory,2003-03-01,March 2003 Baseline,True,2013,11,368.3,563.3,112.0,480.3,-83.0,-14.7
Mandatory,Other Mandatory,2004-03-01,March 2004 Baseline,True,2004,1,313.6,304.9,0.1,313.7,8.8,2.9
Mandatory,Other Mandatory,2004-03-01,March 2004 Baseline,True,2005,2,318.7,324.7,5.0,323.7,-1.0,-0.3
Mandatory,Other Mandatory,2004-03-01,March 2004 Baseline,True,2006,3,313.6,362.4,24.1,337.7,-24.7,-6.8
Mandatory,Other Mandatory,2004-03-01,March 2004 Baseline,True,2007,4,313.6,307.1,3.0,316.7,9.5,3.1
Mandatory,Other Mandatory,2004-03-01,March 2004 Baseline,True,2008,5,324.8,395.6,38.7,363.5,-32.1,-8.1
Mandatory,Other Mandatory,2004-03-01,March 2004 Baseline,True,2009,6,339.7,648.2,279.6,619.3,-28.9,-4.5
Mandatory,Other Mandatory,2004-03-01,March 2004 Baseline,True,2010,7,349.5,453.3,144.3,493.7,40.5,8.9
Mandatory,Other Mandatory,2004-03-01,March 2004 Baseline,True,2011,8,366.0,541.0,139.9,505.9,-35.0,-6.5
Mandatory,Other Mandatory,2004-03-01,March 2004 Baseline,True,2012,9,349.2,546.1,131.5,480.7,-65.4,-12.0
Mandatory,Other Mandatory,2004-03-01,March 2004 Baseline,True,2013,10,363.3,563.3,106.4,469.6,-93.6,-16.6
Mandatory,Other Mandatory,2004-03-01,March 2004 Baseline,True,2014,11,371.7,521.2,78.9,450.7,-70.5,-13.5
Mandatory,Other Mandatory,2005-03-01,March 2005 Baseline,True,2005,1,327.1,324.7,0.1,327.2,2.5,0.8
Mandatory,Other Mandatory,2005-03-01,March 2005 Baseline,True,2006,2,327.8,362.4,15.2,342.9,-19.5,-5.4
Mandatory,Other Mandatory,2005-03-01,March 2005 Baseline,True,2007,3,321.7,307.1,2.3,324.0,16.8,5.5
Mandatory,Other Mandatory,2005-03-01,March 2005 Baseline,True,2008,4,335.5,395.6,37.9,373.5,-22.1,-5.6
Mandatory,Other Mandatory,2005-03-01,March 2005 Baseline,True,2009,5,351.4,648.2,276.3,627.8,-20.5,-3.2
Mandatory,Other Mandatory,2005-03-01,March 2005 Baseline,True,2010,6,359.7,453.3,142.8,502.4,49.2,10.9
Mandatory,Other Mandatory,2005-03-01,March 2005 Baseline,True,2011,7,374.9,541.0,141.6,516.5,-24.5,-4.5
Mandatory,Other Mandatory,2005-03-01,March 2005 Baseline,True,2012,8,355.6,546.1,133.9,489.5,-56.6,-10.4
Mandatory,Other Mandatory,2005-03-01,March 2005 Baseline,True,2013,9,369.2,563.3,108.6,477.8,-85.4,-15.2
Mandatory,Other Mandatory,2005-03-01,March 2005 Baseline,True,2014,10,376.7,521.2,80.5,457.2,-64.0,-12.3
Mandatory,Other Mandatory,2005-03-01,March 2005 Baseline,True,2015,11,388.1,547.7,81.7,469.8,-78.0,-14.2
Mandatory,Other Mandatory,2006-03-01,March 2006 Baseline,True,2006,1,362.0,362.4,0.4,362.4,-0.0,-0.0
Mandatory,Other Mandatory,2006-03-01,March 2006 Baseline,True,2007,2,322.4,307.1,1.9,324.4,17.2,5.6
Mandatory,Other Mandatory,2006-03-01,March 2006 Baseline,True,2008,3,338.8,395.6,38.1,377.0,-18.6,-4.7
Mandatory,Other Mandatory,2006-03-01,March 2006 Baseline,True,2009,4,346.0,648.2,290.6,636.6,-11.6,-1.8
Mandatory,Other Mandatory,2006-03-01,March 2006 Baseline,True,2010,5,360.3,453.3,146.2,506.5,53.2,11.7
Mandatory,Other Mandatory,2006-03-01,March 2006 Baseline,True,2011,6,376.1,541.0,145.7,521.8,-19.2,-3.6
Mandatory,Other Mandatory,2006-03-01,March 2006 Baseline,True,2012,7,355.7,546.1,139.6,495.4,-50.7,-9.3
Mandatory,Other Mandatory,2006-03-01,March 2006 Baseline,True,2013,8,369.3,563.3,113.5,482.9,-80.4,-14.3
Mandatory,Other Mandatory,2006-03-01,March 2006 Baseline,True,2014,9,378.3,521.2,83.6,462.0,-59.3,-11.4
Mandatory,Other Mandatory,2006-03-01,March 2006 Baseline,True,2015,10,389.7,547.7,84.9,474.6,-73.1,-13.4
Mandatory,Other Mandatory,2006-03-01,March 2006 Baseline,True,2016,11,408.4,574.8,108.7,517.1,-57.7,-10.0
Mandatory,Other Mandatory,2007-03-01,March 2007 Baseline,True,2007,1,314.9,307.1,0.7,315.6,8.5,2.8
Mandatory,Other Mandatory,2007-03-01,March 2007 Baseline,True,2008,2,335.5,395.6,38.3,373.8,-21.7,-5.5
Mandatory,Other Mandatory,2007-03-01,March 2007 Baseline,True,2009,3,349.9,648.2,290.2,640.1,-8.2,-1.3
Mandatory,Other Mandatory,2007-03-01,March 2007 Baseline,True,2010,4,360.1,453.3,145.7,505.8,52.5,11.6
Mandatory,Other Mandatory,2007-03-01,March 2007 Baseline,True,2011,5,374.8,541.0,145.4,520.2,-20.8,-3.8
Mandatory,Other Mandatory,2007-03-01,March 2007 Baseline,True,2012,6,352.9,546.1,139.5,492.3,-53.8,-9.8
Mandatory,Other Mandatory,2007-03-01,March 2007 Baseline,True,2013,7,368.2,563.3,113.2,481.4,-81.9,-14.5
Mandatory,Other Mandatory,2007-03-01,March 2007 Baseline,True,2014,8,378.7,521.2,83.2,462.0,-59.2,-11.4
Mandatory,Other Mandatory,2007-03-01,March 2007 Baseline,True,2015,9,390.0,547.7,84.8,474.8,-72.9,-13.3
Mandatory,Other Mandatory,2007-03-01,March 2007 Baseline,True,2016,10,410.6,574.8,108.5,519.1,-55.7,-9.7
Mandatory,Other Mandatory,2007-03-01,March 2007 Baseline,True,2017,11,417.9,642.1,116.6,534.5,-107.6,-16.8
Mandatory,Other Mandatory,2008-03-01,March 2008 Baseline,True,2008,1,373.1,395.6,-1.8,371.4,-24.2,-6.1
Mandatory,Other Mandatory,2008-03-01,March 2008 Baseline,True,2009,2,378.9,648.2,284.6,663.5,15.3,2.4
Mandatory,Other Mandatory,2008-03-01,March 2008 Baseline,True,2010,3,378.4,453.3,143.9,522.3,69.0,15.2
Mandatory,Other Mandatory,2008-03-01,March 2008 Baseline,True,2011,4,389.5,541.0,142.5,532.0,-9.0,-1.7
Mandatory,Other Mandatory,2008-03-01,March 2008 Baseline,True,2012,5,367.2,546.1,136.1,503.2,-42.8,-7.8
Mandatory,Other Mandatory,2008-03-01,March 2008 Baseline,True,2013,6,379.8,563.3,112.2,492.0,-71.3,-12.7
Mandatory,Other Mandatory,2008-03-01,March 2008 Baseline,True,2014,7,387.9,521.2,84.8,472.7,-48.5,-9.3
Mandatory,Other Mandatory,2008-03-01,March 2008 Baseline,True,2015,8,401.5,547.7,84.5,486.1,-61.7,-11.3
Mandatory,Other Mandatory,2008-03-01,March 2008 Baseline,True,2016,9,422.7,574.8,108.1,530.8,-44.0,-7.6
Mandatory,Other Mandatory,2008-03-01,March 2008 Baseline,True,2017,10,430.2,642.1,116.6,546.8,-95.3,-14.8
Mandatory,Other Mandatory,2008-03-01,March 2008 Baseline,True,2018,11,432.6,579.0,125.8,558.4,-20.5,-3.5
Mandatory,Other Mandatory,2009-03-01,March 2009 Baseline,True,2009,1,817.6,648.2,1.7,819.2,171.0,26.4
Mandatory,Other Mandatory,2009-03-01,March 2009 Baseline,True,2010,2,560.7,453.3,47.2,607.9,154.6,34.1
Mandatory,Other Mandatory,2009-03-01,March 2009 Baseline,True,2011,3,497.2,541.0,85.3,582.4,41.5,7.7
Mandatory,Other Mandatory,2009-03-01,March 2009 Baseline,True,2012,4,399.4,546.1,114.4,513.8,-32.3,-5.9
Mandatory,Other Mandatory,2009-03-01,March 2009 Baseline,True,2013,5,406.5,563.3,89.3,495.8,-67.5,-12.0
Mandatory,Other Mandatory,2009-03-01,March 2009 Baseline,True,2014,6,400.4,521.2,69.9,470.3,-50.9,-9.8
Mandatory,Other Mandatory,2009-03-01,March 2009 Baseline,True,2015,7,401.9,547.7,73.9,475.8,-72.0,-13.1
Mandatory,Other Mandatory,2009-03-01,March 2009 Baseline,True,2016,8,415.7,574.8,98.8,514.5,-60.3,-10.5
Mandatory,Other Mandatory,2009-03-01,March 2009 Baseline,True,2017,9,419.4,642.1,108.3,527.6,-114.5,-17.8
Mandatory,Other Mandatory,2009-03-01,March 2009 Baseline,True,2018,10,417.2,579.0,116.5,533.7,-45.3,-7.8
Mandatory,Other Mandatory,2009-03-01,March 2009 Baseline,True,2019,11,441.9,661.6,151.1,593.0,-68.6,-10.4
Mandatory,Other Mandatory,2010-03-01,Final March 2010 baseline,True,2010,1,513.0,453.3,11.7,524.7,71.4,15.8
Mandatory,Other Mandatory,2010-03-01,Final March 2010 baseline,True,2011,2,560.0,541.0,85.4,645.4,104.4,19.3
Mandatory,Other Mandatory,2010-03-01,Final March 2010 baseline,True,2012,3,454.2,546.1,113.9,568.1,22.0,4.0
Mandatory,Other Mandatory,2010-03-01,Final March 2010 baseline,True,2013,4,438.8,563.3,89.3,528.1,-35.2,-6.2
Mandatory,Other Mandatory,2010-03-01,Final March 2010 baseline,True,2014,5,435.4,521.2,71.9,507.4,-13.8,-2.7
Mandatory,Other Mandatory,2010-03-01,Final March 2010 baseline,True,2015,6,438.9,547.7,76.8,515.8,-32.0,-5.8
Mandatory,Other Mandatory,2010-03-01,Final March 2010 baseline,True,2016,7,458.0,574.8,101.7,559.7,-15.0,-2.6
Mandatory,Other Mandatory,2010-03-01,Final March 2010 baseline,True,2017,8,461.0,642.1,110.0,571.0,-71.1,-11.1
Mandatory,Other Mandatory,2010-03-01,Final March 2010 baseline,True,2018,9,457.5,579.0,117.8,575.3,-3.7,-0.6
Mandatory,Other Mandatory,2010-03-01,Final March 2010 baseline,True,2019,10,482.4,661.6,150.9,633.3,-28.4,-4.3
Mandatory,Other Mandatory,2010-03-01,Final March 2010 baseline,True,2020,11,490.2,2267.4,1597.5,2087.7,-179.6,-7.9
Mandatory,Other Mandatory,2011-03-01,March 2011 Baseline,True,2011,1,557.4,541.0,-0.3,557.1,16.1,3.0
Mandatory,Other Mandatory,2011-03-01,March 2011 Baseline,True,2012,2,533.7,546.1,42.0,575.7,29.6,5.4
Mandatory,Other Mandatory,2011-03-01,March 2011 Baseline,True,2013,3,508.7,563.3,52.5,561.2,-2.1,-0.4
Mandatory,Other Mandatory,2011-03-01,March 2011 Baseline,True,2014,4,480.4,521.2,49.2,529.7,8.5,1.6
Mandatory,Other Mandatory,2011-03-01,March 2011 Baseline,True,2015,5,509.4,547.7,31.7,541.1,-6.6,-1.2
Mandatory,Other Mandatory,2011-03-01,March 2011 Baseline,True,2016,6,551.5,574.8,22.7,574.3,-0.5,-0.1
Mandatory,Other Mandatory,2011-03-01,March 2011 Baseline,True,2017,7,554.9,642.1,24.7,579.6,-62.6,-9.7
Mandatory,Other Mandatory,2011-03-01,March 2011 Baseline,True,2018,8,552.1,579.0,29.4,581.5,2.5,0.4
Mandatory,Other Mandatory,2011-03-01,March 2011 Baseline,True,2019,9,592.5,661.6,50.2,642.8,-18.9,-2.8
Mandatory,Other Mandatory,2011-03-01,March 2011 Baseline,True,2020,10,610.9,2267.4,1486.7,2097.6,-169.8,-7.5
Mandatory,Other Mandatory,2011-03-01,March 2011 Baseline,True,2021,11,628.7,2500.4,1843.1,2471.9,-28.6,-1.1
Mandatory,Other Mandatory,2012-03-01,March 2012 Baseline,True,2012,1,574.7,546.1,2.4,577.1,31.0,5.7
Mandatory,Other Mandatory,2012-03-01,March 2012 Baseline,True,2013,2,529.2,563.3,38.1,567.3,4.0,0.7
Mandatory,Other Mandatory,2012-03-01,March 2012 Baseline,True,2014,3,499.0,521.2,53.5,552.5,31.3,6.0
Mandatory,Other Mandatory,2012-03-01,March 2012 Baseline,True,2015,4,522.4,547.7,44.8,567.2,19.4,3.5
Mandatory,Other Mandatory,2012-03-01,March 2012 Baseline,True,2016,5,558.7,574.8,37.9,596.6,21.8,3.8
Mandatory,Other Mandatory,2012-03-01,March 2012 Baseline,True,2017,6,562.7,642.1,39.3,602.0,-40.1,-6.3
Mandatory,Other Mandatory,2012-03-01,March 2012 Baseline,True,2018,7,568.0,579.0,41.9,609.9,31.0,5.3
Mandatory,Other Mandatory,2012-03-01,March 2012 Baseline,True,2019,8,591.6,661.6,63.2,654.8,-6.8,-1.0
Mandatory,Other Mandatory,2012-03-01,March 2012 Baseline,True,2020,9,611.7,2267.4,1500.6,2112.3,-155.1,-6.8
Mandatory,Other Mandatory,2012-03-01,March 2012 Baseline,True,2021,10,639.5,2500.4,1858.1,2497.6,-2.8,-0.1
Mandatory,Other Mandatory,2013-05-01,CBO May 2013 Baseline,True,2013,1,561.9,563.3,8.1,570.0,6.7,1.2
Mandatory,Other Mandatory,2013-05-01,CBO May 2013 Baseline,True,2014,2,538.5,521.2,11.1,549.6,28.4,5.4
Mandatory,Other Mandatory,2013-05-01,CBO May 2013 Baseline,True,2015,3,576.9,547.7,9.1,586.0,38.3,7.0
Mandatory,Other Mandatory,2013-05-01,CBO May 2013 Baseline,True,2016,4,629.4,574.8,0.7,630.1,55.4,9.6
Mandatory,Other Mandatory,2013-05-01,CBO May 2013 Baseline,True,2017,5,648.8,642.1,0.1,648.9,6.8,1.1
Mandatory,Other Mandatory,2013-05-01,CBO May 2013 Baseline,True,2018,6,654.6,579.0,5.8,660.4,81.4,14.1
Mandatory,Other Mandatory,2013-05-01,CBO May 2013 Baseline,True,2019,7,660.6,661.6,41.7,702.2,40.6,6.1
Mandatory,Other Mandatory,2013-05-01,CBO May 2013 Baseline,True,2020,8,679.5,2267.4,1478.8,2158.3,-109.1,-4.8
Mandatory,Other Mandatory,2013-05-01,CBO May 2013 Baseline,True,2021,9,704.8,2500.4,1836.1,2540.8,40.4,1.6
Mandatory,Other Mandatory,2014-04-01,April 2014 Baseline,True,2014,1,543.1,521.2,0.6,543.7,22.5,4.3
Mandatory,Other Mandatory,2014-04-01,April 2014 Baseline,True,2015,2,578.0,547.7,9.5,587.4,39.7,7.2
Mandatory,Other Mandatory,2014-04-01,April 2014 Baseline,True,2016,3,633.6,574.8,5.0,638.7,63.9,11.1
Mandatory,Other Mandatory,2014-04-01,April 2014 Baseline,True,2017,4,649.0,642.1,7.4,656.4,14.2,2.2
Mandatory,Other Mandatory,2014-04-01,April 2014 Baseline,True,2018,5,644.6,579.0,12.0,656.6,77.6,13.4
Mandatory,Other Mandatory,2014-04-01,April 2014 Baseline,True,2019,6,646.9,661.6,52.9,699.8,38.2,5.8
Mandatory,Other Mandatory,2014-04-01,April 2014 Baseline,True,2020,7,665.6,2267.4,1490.1,2155.6,-111.7,-4.9
Mandatory,Other Mandatory,2014-04-01,April 2014 Baseline,True,2021,8,688.8,2500.4,1846.9,2535.8,35.3,1.4
Mandatory,Other Mandatory,2015-03-01,March 2015 Baseline,True,2015,1,546.2,547.7,1.4,547.6,-0.2,-0.0
Mandatory,Other Mandatory,2015-03-01,March 2015 Baseline,True,2016,2,620.4,574.8,3.1,623.5,48.8,8.5
Mandatory,Other Mandatory,2015-03-01,March 2015 Baseline,True,2017,3,620.7,642.1,7.8,628.5,-13.6,-2.1
Mandatory,Other Mandatory,2015-03-01,March 2015 Baseline,True,2018,4,608.1,579.0,11.4,619.5,40.5,7.0
Mandatory,Other Mandatory,2015-03-01,March 2015 Baseline,True,2019,5,626.3,661.6,49.5,675.8,14.1,2.1
Mandatory,Other Mandatory,2015-03-01,March 2015 Baseline,True,2020,6,647.1,2267.4,1490.4,2137.6,-129.8,-5.7
Mandatory,Other Mandatory,2015-03-01,March 2015 Baseline,True,2021,7,663.6,2500.4,1847.0,2510.6,10.1,0.4
Mandatory,Other Mandatory,2016-03-01,March 2016 baseline,True,2016,1,594.5,574.8,0.0,594.5,19.8,3.4
Mandatory,Other Mandatory,2016-03-01,March 2016 baseline,True,2017,2,609.7,642.1,-0.9,608.8,-33.3,-5.2
Mandatory,Other Mandatory,2016-03-01,March 2016 baseline,True,2018,3,610.6,579.0,5.9,616.5,37.6,6.5
Mandatory,Other Mandatory,2016-03-01,March 2016 baseline,True,2019,4,656.9,661.6,28.4,685.2,23.6,3.6
Mandatory,Other Mandatory,2016-03-01,March 2016 baseline,True,2020,5,675.1,2267.4,1467.9,2143.0,-124.4,-5.5
Mandatory,Other Mandatory,2016-03-01,March 2016 baseline,True,2021,6,689.9,2500.4,1823.4,2513.3,12.9,0.5
Mandatory,Other Mandatory,2017-06-01,June 2017 Baseline,True,2017,1,650.0,642.1,0.0,650.0,7.9,1.2
Mandatory,Other Mandatory,2017-06-01,June 2017 Baseline,True,2018,2,581.5,579.0,7.0,588.5,9.5,1.6
Mandatory,Other Mandatory,2017-06-01,June 2017 Baseline,True,2019,3,628.0,661.6,29.7,657.7,-3.9,-0.6
Mandatory,Other Mandatory,2017-06-01,June 2017 Baseline,True,2020,4,659.3,2267.4,1468.2,2127.5,-139.9,-6.2
Mandatory,Other Mandatory,2017-06-01,June 2017 Baseline,True,2021,5,688.2,2500.4,1822.3,2510.5,10.1,0.4
Mandatory,Other Mandatory,2018-04-01,"April 2018 Baseline, adjusted",True,2018,1,596.8,579.0,0.0,596.8,17.9,3.1
Mandatory,Other Mandatory,2018-04-01,"April 2018 Baseline, adjusted",True,2019,2,627.9,661.6,5.5,633.5,-28.2,-4.3
Mandatory,Other Mandatory,2018-04-01,"April 2018 Baseline, adjusted",True,2020,3,647.5,2267.4,1452.4,2099.9,-167.5,-7.4
Mandatory,Other Mandatory,2018-04-01,"April 2018 Baseline, adjusted",True,2021,4,677.5,2500.4,1821.2,2498.7,-1.7,-0.1
Mandatory,Other Mandatory,2019-05-01,May 2019 Baseline,True,2019,1,647.7,661.6,2.2,649.8,-11.8,-1.8
Mandatory,Other Mandatory,2019-05-01,May 2019 Baseline,True,2020,2,634.8,2267.4,1449.7,2084.5,-182.8,-8.1
Mandatory,Other Mandatory,2019-05-01,May 2019 Baseline,True,2021,3,649.2,2500.4,1821.8,2471.0,-29.4,-1.2
Mandatory,Other Mandatory,2020-03-01,March 2020 Baseline,True,2020,1,711.8,2267.4,1446.8,2158.6,-108.8,-4.8
Mandatory,Other Mandatory,2020-03-01,March 2020 Baseline,True,2021,2,639.5,2500.4,1819.4,2458.9,-41.5,-1.7
Mandatory,Other Mandatory,2021-07-01,2021 July Baseline,True,2021,1,2535.9,2500.4,0.0,2535.9,35.4,1.4
Discretionary,Total Discretionary,1992-03-01,March 1992 Baseline,True,1992,1,548.2,533.8,-1.8,546.4,12.6,2.4
Discretionary,Total Discretionary,1992-03-01,March 1992 Baseline,True,1993,2,542.9,539.8,5.1,547.9,8.2,1.5
Discretionary,Total Discretionary,1992-03-01,March 1992 Baseline,True,1994,3,536.5,541.3,13.4,549.9,8.5,1.6
Discretionary,Total Discretionary,1992-03-01,March 1992 Baseline,True,1995,4,538.2,544.8,9.5,547.7,2.9,0.5
Discretionary,Total Discretionary,1992-03-01,March 1992 Baseline,True,1996,5,556.5,532.7,-21.5,535.0,2.2,0.4
Discretionary,Total Discretionary,1992-03-01,March 1992 Baseline,True,1997,6,575.4,547.0,-29.0,546.3,-0.7,-0.1
Discretionary,Total Discretionary,1993-03-01,March 1993 Baseline,True,1993,1,547.7,539.8,3.6,551.3,11.5,2.1
Discretionary,Total Discretionary,1993-03-01,March 1993 Baseline,True,1994,2,538.9,541.3,11.3,550.3,8.9,1.6
Discretionary,Total Discretionary,1993-03-01,March 1993 Baseline,True,1995,3,540.2,544.8,9.2,549.4,4.7,0.9
Discretionary,Total Discretionary,1993-03-01,March 1993 Baseline,True,1996,4,554.8,532.7,-21.8,532.9,0.2,0.0
Discretionary,Total Discretionary,1993-03-01,March 1993 Baseline,True,1997,5,569.8,547.0,-29.0,540.7,-6.3,-1.2
Discretionary,Total Discretionary,1993-03-01,March 1993 Baseline,True,1998,6,585.1,552.0,-23.4,561.8,9.8,1.8
Discretionary,Total Discretionary,1994-04-01,April 1994 Baseline,True,1994,1,546.8,541.3,0.7,547.5,6.1,1.1
Discretionary,Total Discretionary,1994-04-01,April 1994 Baseline,True,1995,2,546.1,544.8,2.4,548.5,3.7,0.7
Discretionary,Total Discretionary,1994-04-01,April 1994 Baseline,True,1996,3,550.6,532.7,-17.8,532.9,0.1,0.0
Discretionary,Total Discretionary,1994-04-01,April 1994 Baseline,True,1997,4,548.7,547.0,-7.3,541.5,-5.5,-1.0
Discretionary,Total Discretionary,1994-04-01,April 1994 Baseline,True,1998,5,549.4,552.0,13.6,563.0,11.0,2.0
Discretionary,Total Discretionary,1994-04-01,April 1994 Baseline,True,1999,6,566.4,572.1,24.3,590.8,18.6,3.3
Discretionary,Total Discretionary,1995-04-01,April 1995 Baseline,True,1995,1,547.9,544.8,-0.1,547.9,3.1,0.6
Discretionary,Total Discretionary,1995-04-01,April 1995 Baseline,True,1996,2,551.7,532.7,-18.4,533.3,0.6,0.1
Discretionary,Total Discretionary,1995-04-01,April 1995 Baseline,True,1997,3,553.4,547.0,-7.6,545.8,-1.3,-0.2
Discretionary,Total Discretionary,1995-04-01,April 1995 Baseline,True,1998,4,556.5,552.0,13.2,569.7,17.7,3.2
Discretionary,Total Discretionary,1995-04-01,April 1995 Baseline,True,1999,5,575.4,572.1,23.9,599.4,27.3,4.8
Discretionary,Total Discretionary,1995-04-01,April 1995 Baseline,True,2000,6,595.0,614.6,43.0,638.0,23.4,3.8
Discretionary,Total Discretionary,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1996,1,532.8,532.7,2.1,534.9,2.2,0.4
Discretionary,Total Discretionary,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1997,2,546.3,547.0,0.4,546.7,-0.3,-0.1
Discretionary,Total Discretionary,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1998,3,546.4,552.0,13.4,559.8,7.8,1.4
Discretionary,Total Discretionary,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1999,4,563.1,572.1,24.1,587.2,15.1,2.6
Discretionary,Total Discretionary,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2000,5,579.1,614.6,43.2,622.3,7.7,1.2
Discretionary,Total Discretionary,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2001,6,595.9,649.0,53.8,649.8,0.7,0.1
Discretionary,Total Discretionary,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2002,7,613.8,734.0,123.5,737.3,3.3,0.5
